127.0.0.1 - - [14/Aug/2023:11:27:46 +0600] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/ HTTP/1.1" 200 4707
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/vendor/jquery/jquery.min.css HTTP/1.1" 404 816
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/public/home.css HTTP/1.1" 200 2503
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/public/Images/online-course.jpg HTTP/1.1" 200 95787
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:11:28:00 +0600] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [14/Aug/2023:12:33:47 +0600] "POST /online-course-management/onlineCourse HTTP/1.1" 200 3072
127.0.0.1 - - [14/Aug/2023:12:33:48 +0600] "GET /online-course-management/public/student.css HTTP/1.1" 200 1856
127.0.0.1 - - [14/Aug/2023:12:33:48 +0600] "GET /online-course-management/vendor/jquery/jquery.min.css HTTP/1.1" 404 816
127.0.0.1 - - [14/Aug/2023:12:33:48 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:12:33:48 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:12:33:51 +0600] "GET /online-course-management/registerCourse HTTP/1.1" 200 2798
127.0.0.1 - - [14/Aug/2023:12:33:51 +0600] "GET /online-course-management/public/course.css HTTP/1.1" 200 1351
127.0.0.1 - - [14/Aug/2023:12:33:51 +0600] "GET /online-course-management/public/course.css HTTP/1.1" 200 1351
127.0.0.1 - - [14/Aug/2023:12:33:59 +0600] "GET /online-course-management/registerCourse HTTP/1.1" 200 2798
127.0.0.1 - - [14/Aug/2023:12:34:10 +0600] "POST /online-course-management/registerCourse HTTP/1.1" 200 3306
127.0.0.1 - - [14/Aug/2023:12:34:10 +0600] "GET /online-course-management/vendor/jquery/jquery.min.css HTTP/1.1" 404 816
127.0.0.1 - - [14/Aug/2023:12:34:10 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:12:34:10 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:12:34:20 +0600] "GET /online-course-management/registerCourse HTTP/1.1" 200 2798
127.0.0.1 - - [14/Aug/2023:12:34:28 +0600] "GET /online-course-management/logout HTTP/1.1" 302 -
127.0.0.1 - - [14/Aug/2023:12:34:28 +0600] "GET /online-course-management/index.jsp HTTP/1.1" 200 4707
127.0.0.1 - - [14/Aug/2023:12:34:28 +0600] "GET /online-course-management/vendor/jquery/jquery.min.css HTTP/1.1" 404 816
127.0.0.1 - - [14/Aug/2023:12:34:28 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
127.0.0.1 - - [14/Aug/2023:12:34:28 +0600] "GET /online-course-management/alert/dist/sweetalert.css HTTP/1.1" 404 813
